Date,AAPL,KO,SPY
2016-04-26,26.087499618530277,44.52999877929688,208.9199981689453
2016-04-27,24.45499992370605,44.68000030517578,209.3500061035156
2016-04-28,23.707500457763672,44.630001068115234,207.4499969482422
2016-04-29,23.434999465942383,44.79999923706055,206.3300018310547
2016-05-02,23.40999984741211,44.97999954223633,207.97000122070312
2016-05-03,23.795000076293945,44.84000015258789,206.16000366210935
2016-05-04,23.54750061035156,44.97999954223633,205.00999450683597
2016-05-05,23.309999465942383,45.060001373291016,204.97000122070312
2016-05-06,23.18000030517578,45.31999969482422,205.72000122070312
2016-05-09,23.19750022888184,45.2400016784668,205.88999938964844
2016-05-10,23.354999542236328,45.75,208.4499969482422
2016-05-11,23.127500534057617,45.459999084472656,206.5
2016-05-12,22.584999084472656,45.83000183105469,206.55999755859372
2016-05-13,22.6299991607666,45.34999847412109,204.75999450683597
2016-05-16,23.46999931335449,45.619998931884766,206.77999877929688
2016-05-17,23.372499465942383,44.75,204.8500061035156
2016-05-18,23.63999938964844,44.47999954223633,204.91000366210935
2016-05-19,23.549999237060547,44.31999969482422,204.1999969482422
2016-05-20,23.80500030517578,43.95000076293945,205.4900054931641
2016-05-23,24.107500076293945,43.970001220703125,205.2100067138672
2016-05-24,24.475000381469727,44.369998931884766,207.8699951171875
2016-05-25,24.905000686645508,44.380001068115234,209.27999877929688
2016-05-26,25.102500915527344,44.68999862670898,209.33999633789065
2016-05-27,25.087499618530277,44.77999877929688,210.2400054931641
2016-05-31,24.96500015258789,44.59999847412109,209.83999633789065
2016-06-01,24.614999771118164,44.70000076293945,210.2700042724609
2016-06-02,24.43000030517578,44.720001220703125,210.91000366210935
2016-06-03,24.479999542236328,45.040000915527344,210.27999877929688
2016-06-06,24.65749931335449,45.369998931884766,211.3500061035156
2016-06-07,24.75749969482422,45.31999969482422,211.67999267578125
2016-06-08,24.73500061035156,45.54999923706055,212.3699951171875
2016-06-09,24.912500381469727,45.7599983215332,212.0800018310547
2016-06-10,24.707500457763672,45.9900016784668,210.07000732421875
2016-06-13,24.334999084472656,45.119998931884766,208.4499969482422
2016-06-14,24.364999771118164,45.040000915527344,208.0399932861328
2016-06-15,24.28499984741211,45.0099983215332,207.75
2016-06-16,24.387500762939453,45.310001373291016,208.3699951171875
2016-06-17,23.832500457763672,44.790000915527344,206.5200042724609
2016-06-20,23.774999618530277,44.97999954223633,207.8500061035156
2016-06-21,23.977500915527344,45.130001068115234,208.44000244140625
2016-06-22,23.887500762939453,44.86000061035156,208.1000061035156
2016-06-23,24.024999618530277,45.08000183105469,210.80999755859372
2016-06-24,23.350000381469727,43.93000030517578,203.2400054931641
2016-06-27,23.01000022888184,43.77999877929688,199.6000061035156
2016-06-28,23.397499084472656,44.18000030517578,203.1999969482422
2016-06-29,23.600000381469727,44.43999862670898,206.66000366210935
2016-06-30,23.899999618530277,45.33000183105469,209.47999572753903
